class,image,scale,ESRGAN,SRCNN,Best
00623,00623,x2,0.93865746,0.75388104,ESRGAN
00623,00623,x4,0.74704593,0.4471945,ESRGAN
00676,00676,x2,0.8507367,0.6139755,ESRGAN
00676,00676,x4,0.6585188,0.20720945,ESRGAN
bareland,bareland_5,x2,0.9289096,0.7529809,ESRGAN
bareland,bareland_5,x4,0.69002247,0.54208994,ESRGAN
bareland,bareland_69,x2,0.98645353,0.9158928,ESRGAN
bareland,bareland_69,x4,0.90338856,0.80465454,ESRGAN
baseballfield,baseballfield_58,x2,0.93493944,0.79101855,ESRGAN
baseballfield,baseballfield_58,x4,0.7952525,0.51367277,ESRGAN
baseballfield,baseballfield_60,x2,0.9345824,0.7491519,ESRGAN
baseballfield,baseballfield_60,x4,0.79416615,0.4715515,ESRGAN
bridge,bridge_355,x2,0.9424367,0.75144386,ESRGAN
bridge,bridge_355,x4,0.78960246,0.44079033,ESRGAN
bridge,bridge_48,x2,0.9762412,0.9114191,ESRGAN
bridge,bridge_48,x4,0.9290623,0.8257509,ESRGAN
bridge,bridge_49,x2,0.96664214,0.8692153,ESRGAN
bridge,bridge_49,x4,0.8678973,0.7426898,ESRGAN
commercial,commercial_57,x2,0.8561712,0.6475042,ESRGAN
commercial,commercial_57,x4,0.6013743,0.27735445,ESRGAN
denseresidential,denseresidential_404,x2,0.7664028,0.6114138,ESRGAN
denseresidential,denseresidential_404,x4,0.5707652,0.26119837,ESRGAN
denseresidential,denseresidential_43,x2,0.7911961,0.5606528,ESRGAN
denseresidential,denseresidential_43,x4,0.57202506,0.22469212,ESRGAN
desert,desert_45,x2,0.98214334,0.9154399,ESRGAN
desert,desert_45,x4,0.8989033,0.8111296,ESRGAN
desert,desert_60,x2,0.9852198,0.94383353,ESRGAN
desert,desert_60,x4,0.91797704,0.87618923,ESRGAN
farmland,farmland_50,x2,0.96614265,0.8582804,ESRGAN
farmland,farmland_50,x4,0.90179735,0.6385334,ESRGAN
forest,forest_58,x2,0.86002016,0.5634794,ESRGAN
forest,forest_58,x4,0.3214764,0.19185424,ESRGAN
forest,forest_6,x2,0.5897595,0.59908825,SRCNN
forest,forest_6,x4,0.4121923,0.30881697,ESRGAN
industrial,industrial_50,x2,0.9134946,0.69473124,ESRGAN
industrial,industrial_50,x4,0.65966564,0.3130742,ESRGAN
meadow,meadow_50,x2,0.52325505,0.62200683,SRCNN
meadow,meadow_50,x4,0.50624985,0.5057215,ESRGAN
mediumresidential,mediumresidential_57,x2,0.6616057,0.5571828,ESRGAN
mediumresidential,mediumresidential_57,x4,0.5066282,0.2491131,ESRGAN
park,park_51,x2,0.79212946,0.65824676,ESRGAN
park,park_51,x4,0.5251079,0.33050725,ESRGAN
park,park_57,x2,0.8368134,0.64883685,ESRGAN
park,park_57,x4,0.555277,0.25402686,ESRGAN
park,park_62,x2,0.82374614,0.6087544,ESRGAN
park,park_62,x4,0.49022305,0.2592781,ESRGAN
park,park_65,x2,0.8329305,0.6267152,ESRGAN
park,park_65,x4,0.57072777,0.28117615,ESRGAN
parking,parking_39,x2,0.95239156,0.69511956,ESRGAN
parking,parking_39,x4,0.60462815,0.22532897,ESRGAN
parking,parking_44,x2,0.899332,0.63803035,ESRGAN
parking,parking_44,x4,0.54488474,0.36037496,ESRGAN
parking,parking_49,x2,0.68266565,0.52115804,ESRGAN
parking,parking_49,x4,0.46650258,0.24750982,ESRGAN
parking,parking_56,x2,0.7176314,0.54129624,ESRGAN
parking,parking_56,x4,0.36704195,0.21595447,ESRGAN
playground,playground_40,x2,0.97494984,0.8309355,ESRGAN
playground,playground_40,x4,0.885886,0.55183035,ESRGAN
playground,playground_5,x2,0.9670047,0.8215373,ESRGAN
playground,playground_5,x4,0.8563144,0.4941715,ESRGAN
pond,pond_43,x2,0.82775146,0.7681287,ESRGAN
pond,pond_43,x4,0.7122851,0.54120976,ESRGAN
port,port_377,x2,0.7677474,0.58975357,ESRGAN
port,port_377,x4,0.6130715,0.28452024,ESRGAN
railwaystation,railwaystation_72,x2,0.8863085,0.65809053,ESRGAN
railwaystation,railwaystation_72,x4,0.60371435,0.2665401,ESRGAN
river,river_395,x2,0.7125928,0.667556,ESRGAN
river,river_395,x4,0.5420821,0.32539296,ESRGAN
river,river_44,x2,0.86997205,0.7597203,ESRGAN
river,river_44,x4,0.7206779,0.56671065,ESRGAN
river,river_45,x2,0.7744079,0.634131,ESRGAN
river,river_45,x4,0.5733718,0.3728937,ESRGAN
sparseresidential,sparseresidential_62,x2,0.6537483,0.5921424,ESRGAN
sparseresidential,sparseresidential_62,x4,0.4399453,0.23373783,ESRGAN
sparseresidential,sparseresidential_70,x2,0.6623836,0.59639734,ESRGAN
sparseresidential,sparseresidential_70,x4,0.5254328,0.29053438,ESRGAN
sparseresidential,sparseresidential_71,x2,0.6608273,0.5797201,ESRGAN
sparseresidential,sparseresidential_71,x4,0.47633028,0.2621622,ESRGAN
stadium,stadium_57,x2,0.82217216,0.59341925,ESRGAN
stadium,stadium_57,x4,0.6440094,0.33035257,ESRGAN
