scale,method,class,SSIM,PSNR
x2,ESRGAN,00623,0.93865746,34.70521624196272
x2,ESRGAN,00676,0.8507367,25.96999481273541
x2,ESRGAN,bareland,0.957681565,39.91880006838896
x2,ESRGAN,baseballfield,0.93476092,33.16755076391368
x2,ESRGAN,bridge,0.9617733466666666,36.050282551754705
x2,ESRGAN,commercial,0.8561712,26.82300246459498
x2,ESRGAN,denseresidential,0.77879945,24.08921237024483
x2,ESRGAN,desert,0.98368157,42.6444131495692
x2,ESRGAN,farmland,0.96614265,38.91656861567703
x2,ESRGAN,forest,0.72488983,26.25086842105774
x2,ESRGAN,industrial,0.9134946,31.20671986046096
x2,ESRGAN,meadow,0.52325505,26.107178944012052
x2,ESRGAN,mediumresidential,0.6616057,23.54883669783094
x2,ESRGAN,park,0.821404875,26.41417742984062
x2,ESRGAN,parking,0.8130051525,26.126236861516404
x2,ESRGAN,playground,0.97097727,38.70148842023418
x2,ESRGAN,pond,0.82775146,27.95926395679237
x2,ESRGAN,port,0.7677474,21.99248235852112
x2,ESRGAN,railwaystation,0.8863085,28.846459892996776
x2,ESRGAN,river,0.7856575833333334,28.78936152581957
x2,ESRGAN,sparseresidential,0.6589864,23.12390394508238
x2,ESRGAN,stadium,0.82217216,27.06103375496798
x2,SRCNN,00623,0.75388104,26.9127377938052
x2,SRCNN,00676,0.6139755,20.512564902973285
x2,SRCNN,bareland,0.8344368499999999,33.831237668926256
x2,SRCNN,baseballfield,0.770085225,26.411502383094415
x2,SRCNN,bridge,0.8440260866666667,27.845985669614908
x2,SRCNN,commercial,0.6475042,21.493073923291007
x2,SRCNN,denseresidential,0.5860333,20.030245110743557
x2,SRCNN,desert,0.929636715,39.440721767336164
x2,SRCNN,farmland,0.8582804,32.25173462931967
x2,SRCNN,forest,0.581283825,23.031502075254807
x2,SRCNN,industrial,0.69473124,23.48887616220892
x2,SRCNN,meadow,0.62200683,28.372940117804323
x2,SRCNN,mediumresidential,0.5571828,21.51187507827427
x2,SRCNN,park,0.6356383025000001,21.611817780584452
x2,SRCNN,parking,0.5989010475,20.261821005050024
x2,SRCNN,playground,0.8262364,28.41999186562741
x2,SRCNN,pond,0.7681287,25.81980635029824
x2,SRCNN,port,0.58975357,18.17721153548696
x2,SRCNN,railwaystation,0.65809053,21.73048945835664
x2,SRCNN,river,0.6871357666666666,26.20695284777653
x2,SRCNN,sparseresidential,0.5894199466666666,22.04745764651818
x2,SRCNN,stadium,0.59341925,22.831940209192133
x4,ESRGAN,00623,0.74704593,28.037168657419947
x4,ESRGAN,00676,0.6585188,22.15293988822197
x4,ESRGAN,bareland,0.796705515,34.663331806070715
x4,ESRGAN,baseballfield,0.794709325,28.504796965171785
x4,ESRGAN,bridge,0.8621873533333333,30.30426042990406
x4,ESRGAN,commercial,0.6013743,22.620826095208493
x4,ESRGAN,denseresidential,0.57139513,21.63231922656621
x4,ESRGAN,desert,0.90844017,38.9210338402578
x4,ESRGAN,farmland,0.90179735,35.14794782678305
x4,ESRGAN,forest,0.36683435,22.04350962656906
x4,ESRGAN,industrial,0.65966564,24.85424094257044
x4,ESRGAN,meadow,0.50624985,28.04883608263216
x4,ESRGAN,mediumresidential,0.5066282,22.258044475006077
x4,ESRGAN,park,0.53533393,22.00103178867733
x4,ESRGAN,parking,0.495764355,20.142809837872388
x4,ESRGAN,playground,0.8711002,31.22992072022567
x4,ESRGAN,pond,0.7122851,26.68154361033009
x4,ESRGAN,port,0.6130715,18.94556854962042
x4,ESRGAN,railwaystation,0.60371435,23.29239078349468
x4,ESRGAN,river,0.6120439333333333,26.57338966281672
x4,ESRGAN,sparseresidential,0.48056946000000006,21.981332317358
x4,ESRGAN,stadium,0.6440094,25.22987250118083
x4,SRCNN,00623,0.4471945,20.45620374039169
x4,SRCNN,00676,0.20720945,15.269545706602177
x4,SRCNN,bareland,0.67337224,28.87506081255289
x4,SRCNN,baseballfield,0.492612135,20.97129975421802
x4,SRCNN,bridge,0.6697436766666667,23.791263128044832
x4,SRCNN,commercial,0.27735445,16.31979301206058
x4,SRCNN,denseresidential,0.242945245,16.790443323043462
x4,SRCNN,desert,0.8436594150000001,34.08967738717078
x4,SRCNN,farmland,0.6385334,24.740520335113697
x4,SRCNN,forest,0.250335605,21.852682620642653
x4,SRCNN,industrial,0.3130742,18.521751236843787
x4,SRCNN,meadow,0.5057215,27.96986060788232
x4,SRCNN,mediumresidential,0.2491131,18.27743295123865
x4,SRCNN,park,0.28124709000000003,18.96300276725315
x4,SRCNN,parking,0.262292055,17.479136489380924
x4,SRCNN,playground,0.5230009250000001,20.464218416665723
x4,SRCNN,pond,0.54120976,21.47440930148339
x4,SRCNN,port,0.28452024,13.93692575833343
x4,SRCNN,railwaystation,0.2665401,17.15121881950038
x4,SRCNN,river,0.42166577,22.541287629446774
x4,SRCNN,sparseresidential,0.26214480333333334,18.47810407549924
x4,SRCNN,stadium,0.33035257,17.655983605918834
